,gdp,gdp_trend,consumption,consumption_trend,investment,investment_trend,hours,hours_trend,capital,capital_trend,tfp,tfp_trend
1979-04-01,41.04106446466939,40.01871706351671,24.670360813702942,24.34115812905232,8.541508693823841,7.7053139484650774,109.13209587692361,105.8156135718792,66.20243196939388,65.86420982559319,15.90059947698997,15.847048447659613
1979-07-01,41.15695691294009,40.09879759458459,24.86895002310721,24.39787090600614,8.418201613754595,7.727041397019307,109.63660133514568,105.8595669690289,66.7482253201786,66.2486844015071,15.85214808529763,15.842168221045927
1979-10-01,41.04782485524873,40.16930776618175,24.9407139768142,24.45180368585171,8.256256616957996,7.739615140775846,109.30145672554927,105.86949204481755,67.21012249090029,66.63463967612381,15.803417917392759,15.836827061324387
1980-01-01,41.00254723194048,40.232313264154314,25.018878545102822,24.504133568025335,8.150445293331801,7.744428965970502,108.56414201258909,105.84825113624481,67.68198623041582,67.02010013996873,15.816812844351524,15.831742475451431
1980-04-01,40.00053063457557,40.290442925605426,24.376562043305796,24.556352243287627,7.425606629180483,7.743219428871529,106.16253368687497,105.80084312058933,68.13972613362014,67.40340699743898,15.61939378071146,15.827610180288014
1980-07-01,39.78850735645754,40.346821755875176,24.567909351677038,24.61028404880616,6.89594026131743,7.737986282657556,105.23155835072946,105.73395425164105,68.39041933214119,67.7832808421013,15.605737126909927,15.825115952989526
1980-10-01,40.390017196911685,40.40441072741096,24.782451771168795,24.66765627073397,7.460572202646033,7.730530379352876,106.28581169585989,105.65449294465333,68.55001677800561,68.15887810412583,15.726509217539755,15.824814557855746
1981-01-01,41.03877373674659,40.465835465668995,24.770521199207124,24.7301866137612,8.136030951812986,7.722092966694624,106.51876134012008,105.56903925776534,68.84652088943706,68.52972096448866,15.932304218001278,15.82712340484103
1981-04-01,40.60124087461649,40.533729249272454,24.61757029078539,24.799684530599432,7.829290751429154,7.713739412383758,106.25000286648145,105.4845469738299,69.31639525079173,68.89557052908297,15.750806067166302,15.83239965044933
1981-07-01,40.948523408786095,40.61110217451515,24.590885548748915,24.878009691167534,8.191904939838215,7.706782120509745,105.8058768583779,105.4085380206338,69.69300731561168,69.25638555020736,15.898660830450819,15.841068047702715
1981-10-01,40.36511724116487,40.701034851348325,24.292351676157054,24.966937731689047,7.915926640057227,7.702600839975915,104.97882115628785,105.3489900621892,70.15125671675942,69.61239198062316,15.716201694053359,15.853505088094332
1982-01-01,39.620805845493905,40.806855692196145,24.372353007673322,25.068098780992422,7.118962531070525,7.702868451235301,102.87643146593679,105.31411614680384,70.56034224851193,69.9640981869381,15.59881552432004,15.870126945766835
1982-04-01,39.68057922814166,40.93173111688752,24.29020862713822,25.182732962069988,7.0694547018968565,7.709395835268181,103.0473693460822,105.31190084190837,70.75555341064569,70.31236428390595,15.59041623476812,15.8912682178256
1982-07-01,39.4143322115065,41.07813152060029,24.41992467681492,25.31167564463823,6.942558062520941,7.723632212648236,102.00246134228546,105.34881208475497,70.94348367980812,70.65844436013022,15.574271992319531,15.917097354709462
1982-10-01,39.310570807336475,41.24779143704299,24.78807946072503,25.4552250842194,6.345519310708346,7.7466383505427885,100.73729983864861,105.4299337055753,71.08688916072946,71.00389748870919,15.6487339627639,15.947597336292393
1983-01-01,39.72279014740822,41.44143713890146,24.983487539586097,25.613132425885155,6.467423333810951,7.778996476477035,101.09858888035525,105.55828708683613,71.10569665614048,71.35049357422297,15.77461544957953,15.982537474462452
1983-04-01,40.521432920075895,41.658592005351316,25.469215519873906,25.78473352881485,6.949545401755801,7.820354709103332,102.01689043826036,105.73395990834098,71.15771079856476,71.70008972358815,15.993375613391189,16.021499248357145
1983-07-01,41.21449046391279,41.89769430333448,25.91722720821596,25.968958628425575,7.2869693989925475,7.869475355126854,103.77755023836156,105.95424438262486,71.31306370830707,72.0544246768266,16.074720000144914,16.0639315849368
1983-10-01,41.953946166841924,42.15644590828462,26.230113601698736,26.1645186079915,7.943630548741129,7.924527576961947,105.42304039218044,106.21409151139812,71.54597985150698,72.41492784081606,16.178183959308466,16.109262116872557
1984-01-01,42.59706853841508,42.432077468560855,26.357552951468048,26.370061459908467,8.62035908130067,7.9832587364437195,107.00897220797457,106.50706691541363,71.84491897590097,72.78258685855589,16.243808131611154,16.156920312706863
1984-04-01,43.22310990778903,42.72163291274065,26.68970315651284,26.584239796920528,8.827597899349332,8.043366416675418,108.12461498029549,106.82619869070096,72.42220295462639,73.15785769313426,16.326000920988932,16.20637306951234
1984-07-01,43.52390868064879,43.02218786720614,26.785418502469334,26.80565739772929,8.939246580052542,8.102868106282756,108.29292081565558,107.16476654359035,73.02935047535316,73.54061002587312,16.375087440596943,16.25713576566803
1984-10-01,43.74744266114851,43.33105515549263,27.014749816743787,27.032939337254007,8.770903794222688,8.160197117582511,108.65487136657283,107.51678771696938,73.62363683456003,73.93024402235065,16.377006839388564,16.30879290526406
1985-01-01,44.07460316254208,43.64578733374453,27.464868188045067,27.26465080600429,8.438075861344547,8.214248800594362,109.27982281649737,107.87691175799857,74.22476390243014,74.32582303461123,16.39136865545514,16.360997709180833
1985-04-01,44.35678159068714,43.964127858162755,27.69675198108065,27.49929513330939,8.54151288421835,8.264266800722483,109.75424970095904,108.24043031814303,74.7159929782858,74.72619599754474,16.41199163892302,16.413441777234162
1985-07-01,44.916419334391904,44.28402382657937,28.199878698299823,27.735449720754367,8.418112487403759,8.309623092030378,109.77290301182214,108.60344864275447,75.20464028800933,75.1301226996023,16.57935159126893,16.46583182177609
1985-10-01,45.117032822381034,44.603609743317406,28.216838128654757,27.971767379042767,8.726215056952778,8.34985713501322,109.99982461223287,108.96296548905397,75.62679575548722,75.53632916286907,16.598510754063494,16.517869895240782
1986-01-01,45.31404163990777,44.92136456143847,28.38374261871337,28.207147802552022,8.679602149533649,8.384578045061874,109.28599318968224,109.31667215746053,75.96574875123159,75.94356050453905,16.71550564720465,16.569325478213162
1986-04-01,45.392633151329946,45.23604883926747,28.47643876039167,28.440609812051715,8.540936299252413,8.41363207882395,108.69654157702419,109.66288044931017,76.45145385216503,76.35059172635552,16.76602180069165,16.62001587686952
1986-07-01,45.69724248094757,45.54663868696718,28.93177471356184,28.67125376482148,8.289488150588806,8.437058066146648,108.9370033388376,109.99986368583384,76.88407534976596,76.75618576269372,16.821050482992014,16.669847849744887
1986-10-01,45.80805374267695,45.85218469330972,29.04104209026456,28.898176841491527,8.281742432083929,8.454986710955792,109.43478817470888,110.32526674463402,77.23879338079614,77.1591435626996,16.784882113291335,16.718818653093386
1987-01-01,45.988376066791744,46.15181172919681,29.05599006982447,29.120616661464883,8.4844484756295,8.467467822097658,110.40794418990241,110.63603963392298,77.53901732947703,77.55832278117093,16.731529594474313,16.76702036752643
1987-04-01,46.35053564631939,46.44459930189362,29.44626916394302,29.337883265983194,8.434513680327576,8.474452691971319,110.69490749407134,110.92854256275713,77.93106044612094,77.95260949465082,16.80517230498831,16.814587787557965
1987-07-01,46.62769072309608,46.72950636349779,29.75812631798994,29.549231487033303,8.366695753719455,8.475913813985917,111.16244241407551,111.19896327951126,78.31799542339343,78.34085738580839,16.830208349310876,16.861635068604038
1987-10-01,47.31160296492818,47.00541428509301,29.767385258017416,29.753970636095413,8.941402971046482,8.471809439792137,112.05013146477884,111.44331890276437,78.69650264085513,78.72188686162959,16.9603615109392,16.908271844376262
1988-01-01,47.427330611886305,47.27112240215789,30.212686965440916,29.951531101706678,8.493562535274553,8.462040213674568,111.85483990626837,111.65758682253106,79.18931593840331,79.09448491852206,16.983987116482602,16.95458928045737
1988-04-01,47.94025110834024,47.52560607730054,30.40551002292495,30.141345789506616,8.632187361903013,8.446803296810499,113.184205304502,111.83811689519399,79.59398727192132,79.45740442798403,17.005966165449625,17.000712287698715
1988-07-01,48.10322589593293,47.767928847058705,30.612007953364248,30.323007622034623,8.577529247648638,8.426324982008966,113.19809182340425,111.9813886730164,80.01234125189642,79.80944097754544,17.031140237982786,17.04678563483574
1988-10-01,48.6352561245264,47.997408738844065,30.936087695135754,30.496276405162348,8.671806188928574,8.40095364447059,114.21596055036247,112.0847377684198,80.42492015679986,80.14946170673407,17.088815093284577,17.09295898198292
1989-01-01,48.99286858471452,48.213575383203434,31.02625448950543,30.661098786167443,8.938383422905618,8.371135860975167,115.0288424566733,112.14628890703862,80.80623361125967,80.47645003643298,17.10695304165432,17.13937378156774
1989-04-01,49.259262007621565,48.41636387026892,31.19057350882122,30.81770643035226,8.78595305749785,8.337485338379466,115.21361592237658,112.16552886360952,81.29594631808402,80.78955485816489,17.145738635909254,17.186170418029644
1989-07-01,49.51156283895702,48.60620964255295,31.377617659161196,30.96657459984637,8.66253381591998,8.300952625510146,115.20512991787244,112.14377043663602,81.72915415934271,81.08812869767344,17.20235422826983,17.23347041593587
1989-10-01,49.4990406816603,48.78409463050615,31.468033934611846,31.10843021952052,8.576571699090094,8.262746646079158,114.94798243210778,112.08424958328477,82.12658455923521,81.3718425021588,17.193784157443137,17.281371203682934
1990-01-01,49.64091904518662,48.95159141076715,31.59622362233617,31.24427828841552,8.544437614957472,8.2242754966356,114.36930155506641,111.99212097072198,82.01888909398193,81.64077486826682,17.307673110344325,17.329951732301918
1990-04-01,49.71635217467033,49.11074991731824,31.559900534199397,31.375372366643926,8.464419442103537,8.187112471105369,113.62321573691014,111.87431818876024,82.3906105733985,81.89548826279736,17.380342804646826,17.37923667072725
1990-07-01,49.63474803035912,49.264083725005015,31.741696294532378,31.503211527307414,8.258146859938021,8.15299740409766,112.76436573123587,111.7392340512626,82.71742638861392,82.13679892451225,17.413458220714638,17.429236980441377
1990-10-01,49.050215020132434,49.4145200806022,31.595371206064517,31.629437541424984,7.739357165667405,8.123812312444873,111.96737728494637,111.5963142892071,82.95235477975744,82.36585148866406,17.27075286966807,17.479964469591472
1991-01-01,48.71637177618935,49.56525581843599,31.26765879815302,31.755869266402193,7.463184538507333,8.10148356299599,110.64384848432196,111.45559649152561,83.10065143122803,82.5841741462485,17.27549670447688,17.531421185158834
1991-04-01,48.997126860070324,49.719297243585565,31.40406710235511,31.88433349707499,7.409640843560116,8.087685111977791,109.73389913741258,111.32729931117215,83.18655006557437,82.79368417334113,17.46225724414648,17.583476896973742
1991-07-01,49.12508408861468,49.8791498168719,31.451684690270937,32.016376717600714,7.5000500604412,8.083688132020237,109.337063174034,111.22108893130951,83.22201534252028,82.99664583542364,17.54652010383223,17.635837743518444
1991-10-01,49.159726282049164,50.04689467372108,31.389452096951683,32.15326650587102,7.680843313021281,8.090351101359012,108.84900435361166,111.14560313694217,83.25208387372504,83.19559435827102,17.60780222188735,17.688129871920797
1992-01-01,49.63855172044756,50.22416514866444,31.987223702067787,32.29593401237787,7.464128367186865,8.10819559043292,107.9721660652419,111.10829099469765,83.37289328005964,83.3932319446851,17.86395440604858,17.739918694504482
1992-04-01,50.06432700867202,50.41205791204491,32.152363048508796,32.444841102671944,7.83823618068742,8.137528399384273,108.15076664721283,111.11517613345751,83.43397771392719,83.59232240356623,17.993224277231114,17.790713982245848
1992-07-01,50.42354514719313,50.61131986347971,32.45782174697476,32.600264553380484,7.864276247938576,8.178284827962795,108.0291306947617,111.17034254064122,83.55038360929588,83.79564327684983,18.126741072624114,17.840097780893625
1992-10-01,50.794158387440774,50.82249540033887,32.747688111320876,32.762303280764044,8.04368717291823,8.230252301724773,108.38706590812212,111.27606119811021,83.63948448687242,84.00589988611354,18.213958084792836,17.887774431576013
1993-01-01,50.75020880272915,51.04602543226594,32.80186333561175,32.93097029685024,8.173695397572542,8.293052792455105,109.0781076547412,111.4326822219621,83.81567675484295,84.22567141428398,18.109832835944403,17.93362435502123
1993-04-01,50.92833427465796,51.28234705755879,33.04934442615104,33.10627179318699,8.186296333186915,8.366214845350303,110.09678428922838,111.63879111029722,84.03867717546163,84.45733543601798,18.047128944209295,17.977730476882645
1993-07-01,51.03649362092247,51.531724823162016,33.27624697793806,33.28813437147417,8.126656087645822,8.449206042157062,110.42303033338644,111.89153521939511,84.23308202749091,84.70304094331827,18.036114837596152,18.02028732932669
1993-10-01,51.584356395737004,51.79421077008827,33.48365332856866,33.476448822928006,8.481082113830452,8.541382981970933,111.15505120733712,112.18711954012811,84.39152337048277,84.96470324146259,18.139667806135694,18.0615353385338
1994-01-01,51.961779347789744,52.069550095866624,33.74630600863153,33.67109753426434,8.77518619484978,8.641884016147827,111.56114663988865,112.52082913020264,84.67375520344916,85.2439717174158,18.207838032957316,18.101727488514598
1994-04-01,52.549273772462094,52.35735549817165,33.95876331761195,33.871966066757466,9.17244813838139,8.74978191372532,113.15502648686085,112.88727953191841,85.03565529139082,85.5421639376625,18.217476923606082,18.141168254669942
1994-07-01,52.71424969337011,52.657167925854,34.17482839650548,34.07898591063986,9.000727633999972,8.864195985034293,114.16542979135997,113.28043771649065,85.4496389164839,85.86026542067658,18.138519335789518,18.180231361016926
1994-10-01,53.16947997796656,52.96864312519492,34.4230592048075,34.292142692166344,9.325274121787091,8.98446808925351,114.31379933489325,113.69437314086711,85.80246173514033,86.19896701413462,18.25337839252686,18.219341633372913
1995-01-01,53.28270548599238,53.291468282070674,34.442141924151926,34.51148307813611,9.40370329368184,9.10999238156774,114.68946600535436,114.12363400603404,86.34642108336243,86.5587222774289,18.21295181008245,18.25890136395011
1995-04-01,53.33013645469748,53.62545270116181,34.70652226667859,34.73713838330891,9.173181044035244,9.24034332820259,114.283830607492,114.56308019953285,86.84083299421626,86.9397531710691,18.23471892718451,18.299337699976537
1995-07-01,53.64540433156292,53.9703978007458,34.90184581232493,34.969200079074504,9.09958719977883,9.375255113567299,115.31385144078416,115.0078496194975,87.22464082764968,87.34216271870923,18.20772689123585,18.341052752340513
